"Package","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","Archs","MD5sum","NeedsCompilation","Additional_repositories","Author","Authors@R","Biarch","BugReports","BuildKeepEmpty","BuildManual","BuildResaveData","BuildVignettes","Built","ByteCompile","Classification/ACM","Classification/ACM-2012","Classification/JEL","Classification/MSC","Classification/MSC-2010","Collate","Collate.unix","Collate.windows","Contact","Copyright","Date","Date/Publication","Description","Encoding","KeepSource","Language","LazyData","LazyDataCompression","LazyLoad","MailingList","Maintainer","Note","Packaged","RdMacros","StagedInstall","SysDataCompression","SystemRequirements","Title","Type","URL","UseLTO","VignetteBuilder","ZipData","Path","X-CRAN-Comment","Published","Reverse depends","Reverse imports","Reverse linking to","Reverse suggests","Reverse enhances","Deadline","DOI","Count"
"fcl","0.1.4",NA,"R (>= 4.2)","xts, ymd",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"e5272842afb96ff3aa58520d73e785b2","yes",NA,"Xianying Tan [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-6072-3521>),
  Raymon Mina [ctb] (find_root.rs, xirr.rs),
  The authors of the dependency Rust crates [ctb] (see inst/AUTHORS file
    for details)","c(
    person(""Xianying"", ""Tan"", , ""shrektan@126.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0002-6072-3521"")),
    person(""Raymon"", ""Mina"", , ""raymonmina@gmail.com"", role = c(""ctb""),
           comment = c(""find_root.rs, xirr.rs"")),
    person(given = ""The authors of the dependency Rust crates"",
           role = c(""ctb""),
           comment = ""see inst/AUTHORS file for details"")
    )","true","https://github.com/shrektan/fcl/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-15 08:20:02 UTC","A financial calculator that provides very fast implementations
    of common financial indicators using 'Rust' code. It includes functions for
    bond-related indicators, such as yield to maturity ('YTM'), modified duration,
    and Macaulay duration, as well as functions for calculating time-weighted
    and money-weighted rates of return (using 'Modified Dietz' method) for multiple portfolios,
    given their market values and profit and loss ('PnL') data. 'fcl' is designed
    to be efficient and accurate for financial analysis and computation. The methods
    used in this package are based on the following references:
    <https://en.wikipedia.org/wiki/Modified_Dietz_method>,
    <https://en.wikipedia.org/wiki/Time-weighted_return>.","UTF-8",NA,NA,NA,NA,NA,NA,"Xianying Tan <shrektan@126.com>",NA,"2025-04-15 08:10:12 UTC; shrektan",NA,NA,NA,"Cargo (Rust's package manager), rustc","A Financial Calculator",NA,"https://github.com/shrektan/fcl, https://shrektan.github.io/fcl/",NA,NA,NA,NA,NA,"2025-04-15",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.fcl",233497
"fio","0.1.6",NA,"R (>= 4.2)","cli, clipr, emoji, fs, miniUI, readxl, rlang, shiny, Rdpack (>
2.3.1), R6",NA,"knitr, rmarkdown, spelling, microbenchmark, leontief,
ggplot2, writexl, callr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"6976416771c65d9e1e655f5e840652f8","yes",NA,"Alberson da Silva Miranda [aut, cre, cph] (ORCID:
    <https://orcid.org/0000-0001-9252-4175>),
  Celso Bissoli Sessa [dtc] (ORCID:
    <https://orcid.org/0000-0001-7616-0244>)","c(
  person(
    given = ""Alberson"",
    family = ""da Silva Miranda"",
    email = ""albersonmiranda@hotmail.com"",
    role = c(""aut"", ""cre"", ""cph""),
    comment = c(ORCID = ""0000-0001-9252-4175"")
    ),
  person(
    given = ""Celso"",
    family = ""Bissoli Sessa"",
    email = ""celso.sessa@ufes.br"",
    role = c(""dtc""),
    comment = c(ORCID = ""0000-0001-7616-0244"")
    )
  )",NA,"https://github.com/albersonmiranda/fio/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-06 07:50:02 UTC","Simplifies the process of importing and managing input-output
  matrices from 'Microsoft Excel' into R, and provides a suite of functions for
  analysis. It leverages the 'R6' class for clean, memory-efficient
  object-oriented programming. Furthermore, all linear algebra computations are
  implemented in 'Rust' to achieve highly optimized performance.","UTF-8",NA,"en-US","true",NA,NA,NA,"Alberson da Silva Miranda <albersonmiranda@hotmail.com>",NA,"2025-04-05 13:50:51 UTC; albersonmiranda","Rdpack",NA,NA,"Cargo (Rust's package manager), rustc >= 1.77, xz","Friendly Input-Output Analysis",NA,"https://albersonmiranda.github.io/fio/,
https://github.com/albersonmiranda/fio",NA,"knitr",NA,NA,NA,"2025-04-06",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.fio",82739
"gadjid","0.1.0",NA,"R (>= 4.2)",NA,NA,"testthat (>= 3.0.0)",NA,"MPL",NA,NA,NA,NA,"58e320dc28ed084931adbadc0e31d874","yes",NA,"Sebastian Weichwald [aut, cph, cre],
  Theo Würtzen [aut],
  Leonard Henckel [aut],
  Authors of the dependency Rust crates [ctb] (see inst/AUTHORS file for
    details)","c(
    person(""Sebastian"", ""Weichwald"", email = ""sweichwald@math.ku.dk"", role = c(""aut"", ""cph"", ""cre"")),
    person(""Theo"", ""Würtzen"", role = ""aut""),
    person(""Leonard"", ""Henckel"", role = ""aut""),
    person(""Authors of the dependency Rust crates"", role = c(""ctb""), comment = ""see inst/AUTHORS file for details""))",NA,"https://github.com/CausalDisco/gadjid/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-08-29 11:00:08 UTC","Make efficient Rust implementations of graph adjustment
    identification distances available in R. These distances (based on ancestor,
    optimal, and parent adjustment) count how often the respective adjustment
    identification strategy leads to causal inferences that are incorrect
    relative to a ground-truth graph when applied to a candidate graph instead.
    See also Henckel, Würtzen, Weichwald (2024) <doi:10.48550/arXiv.2402.08616>.","UTF-8",NA,NA,NA,NA,NA,NA,"Sebastian Weichwald <sweichwald@math.ku.dk>",NA,"2025-08-25 08:44:52 UTC; qbr527",NA,NA,NA,"Cargo (Rust's package manager), rustc","Graph Adjustment Identification Distances for Causal Graphs",NA,"https://github.com/CausalDisco/gadjid",NA,NA,NA,NA,NA,"2025-08-29",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.gadjid",320
"h3o","0.3.0",NA,"R (>= 4.2)","rlang, stats, vctrs",NA,"sf, wk",NA,"MIT + file LICENSE",NA,NA,NA,NA,"9e338cb72ddb3a0b5bf0baeb577ae6d9","yes",NA,"Josiah Parry [aut, cph] (ORCID:
    <https://orcid.org/0000-0001-9910-865X>),
  Kenneth Vernon [cre, ctb] (ORCID:
    <https://orcid.org/0000-0003-0098-5092>)","c(
    person(""Josiah"", ""Parry"", , ""josiah.parry@gmail.com"", role = c(""aut"", ""cph""),
           comment = c(ORCID = ""0000-0001-9910-865X"")),
    person(""Kenneth"", ""Vernon"", , ""kenneth.b.vernon@gmail.com"", role = c(""cre"", ""ctb""),
           comment = c(ORCID = ""0000-0003-0098-5092""))
    )",NA,"https://github.com/extendr/h3o/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-08-29 11:00:02 UTC","A dependency free interface to the H3 geospatial indexing system utilizing the Rust library 'h3o' <https://github.com/HydroniumLabs/h3o> via the 'extendr' library <https://github.com/extendr/extendr>.","UTF-8",NA,"en",NA,NA,NA,NA,"Kenneth Vernon <kenneth.b.vernon@gmail.com>",NA,"2025-08-24 15:17:51 UTC; kenne",NA,NA,NA,"Cargo (Rust's package manager), rustc >= 1.75","H3 Geospatial Indexing System",NA,"https://github.com/extendr/h3o, https://extendr.rs/h3o/",NA,NA,NA,NA,NA,"2025-08-29",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.h3o",821
"heck","0.1.5",NA,"R (>= 4.2)",NA,NA,"spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"b0cc92f8951f730647e3784bdf5c7789","yes",NA,"Josiah Parry [aut] (ORCID: <https://orcid.org/0000-0001-9910-865X>),
  Dyfan Jones [cre]","c(
    person(""Josiah"", ""Parry"", , ""josiah.parry@gmail.com"", role = c(""aut""),
           comment = c(ORCID = ""0000-0001-9910-865X"")),
    person(""Dyfan"", ""Jones"", email = ""dyfan.r.jones@gmail.com"", role = ""cre"")
  )",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-17 16:00:05 UTC","Provides a case conversion between common cases like CamelCase and 
    snake_case. Using the 'rust crate heck' <https://github.com/withoutboats/heck>
    as the backend for a highly performant case conversion for 'R'.","UTF-8",NA,"en-US",NA,NA,NA,NA,"Dyfan Jones <dyfan.r.jones@gmail.com>",NA,"2025-04-17 10:01:52 UTC; dyfanjones",NA,NA,NA,"Cargo (Rust's package manager), rustc >= 1.56.0","Highly Performant String Case Converter","Package","https://github.com/DyfanJones/heck,
https://dyfanjones.r-universe.dev/heck",NA,NA,NA,NA,NA,"2025-04-17",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.heck",5829
"orbweaver","0.18.2",NA,"R (>= 4.2.0)","glue, methods, rlang",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"d86255623ac6619558d9121c6fce339d","yes",NA,"ixpantia, SRL [cph],
  Andres Quintero [aut, cre],
  The authors of the dependency Rust crates [ctb] (see inst/AUTHORS file
    for details)","c(
    person(""ixpantia, SRL"", , , ""hola@ixpantia.com"", role = ""cph""),
    person(""Andres"", ""Quintero"", , ""andres@ixpantia.com"", role = c(""aut"", ""cre"")),
    person(""The authors of the dependency Rust crates"", role = ""ctb"",
           comment = ""see inst/AUTHORS file for details"")
  )",NA,"https://github.com/ixpantia/orbweaver-r/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-28 13:50:07 UTC","Seamlessly build and manipulate graph structures, leveraging
    its high-performance methods for filtering, joining, and mutating
    data. Ensures that mutations and changes to the graph are performed in
    place, streamlining your workflow for optimal productivity.","UTF-8",NA,NA,NA,NA,NA,NA,"Andres Quintero <andres@ixpantia.com>",NA,"2025-04-21 15:21:23 UTC; andres",NA,NA,NA,"Cargo (Rust's package manager) >= 1.70, rustc >=
1.70","Fast and Efficient Graph Data Structures",NA,"https://github.com/ixpantia/orbweaver-r",NA,NA,NA,NA,NA,"2025-04-28",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.orbweaver",4417
"rbm25","0.0.4",NA,"R (>= 4.2)","R6",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"4413a75f72262581dbeaa6913650e271","yes",NA,"David Zimmermann-Kollenda [aut, cre],
  Michael Barlow [aut] (bm25 Rust library),
  Authors of the dependency Rust crates [aut] (see AUTHORS file)","c(
    person(""David"", ""Zimmermann-Kollenda"", , ""david_j_zimmermann@hotmail.com"", role = c(""aut"", ""cre"")),
    person(""Michael Barlow"", role = ""aut"", comment = ""bm25 Rust library""),
    person(""Authors of the dependency Rust crates"", role = ""aut"", comment = ""see AUTHORS file"")
  )",NA,"https://github.com/DavZim/rbm25/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-14 22:40:02 UTC","
    BM25 is a ranking function used by search engines to rank matching documents according to their relevance to a user's search query.
    This package provides a light wrapper around the 'BM25' 'rust' crate for Okapi BM25 text search.
    For more information, see Robertson et al. (1994) <https://trec.nist.gov/pubs/trec3/t3_proceedings.html>.","UTF-8",NA,NA,NA,NA,NA,NA,"David Zimmermann-Kollenda <david_j_zimmermann@hotmail.com>",NA,"2025-04-14 20:23:31 UTC; david",NA,NA,NA,"Cargo (Rust's package manager), rustc >= 1.71.1","A Light Wrapper Around the 'BM25' 'Rust' Crate for Okapi BM25
Text Search",NA,"https://davzim.github.io/rbm25/, https://github.com/DavZim/rbm25/",NA,NA,NA,NA,NA,"2025-04-14",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.rbm25",1781
"rshift","3.1.2",NA,"R (>= 4.2)","grid, tibble, dplyr, ggplot2",NA,"R.rsp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"e0fb14cddcb846aba6b49ce93bc2f2f8","yes",NA,"Alex H. Room [aut, cre, cph] (ORCID:
    <https://orcid.org/0000-0002-5314-2331>),
  Felipe Franco-Gaviria [ctb, fnd] (ORCID:
    <https://orcid.org/0000-0003-4799-1457>),
  Dunia H. Urrego [ctb, fnd] (ORCID:
    <https://orcid.org/0000-0001-7938-5529>),
  The authors of the dependency Rust crates [ctb] (see inst/AUTHORS file
    for details)","c(person(""Alex H."", ""Room"",
                    role = c(""aut"", ""cre"", ""cph""),
                    email = ""alexhroom+cran@protonmail.com"",
                    comment = c(ORCID = ""0000-0002-5314-2331"")),
             person(""Felipe"", ""Franco-Gaviria"",
                    role = c(""ctb"", ""fnd""),
                    comment = c(ORCID = ""0000-0003-4799-1457"")),
             person(""Dunia H."", ""Urrego"",
                    role = c(""ctb"", ""fnd""),
                    comment = c(ORCID = ""0000-0001-7938-5529"")),
              person(given = ""The authors of the dependency Rust crates"",
                     role = c(""ctb""),
                     comment = ""see inst/AUTHORS file for details""))",NA,"https://github.com/alexhroom/rshift/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-06 18:40:02 UTC","Contains a variety of functions, based around
    regime shift analysis of paleoecological data.
    Citations:
    Rodionov() from Rodionov (2004) <doi:10.1029/2004GL019448>
    Lanzante() from Lanzante (1996) <doi:10.1002/(SICI)1097-0088(199611)16:11%3C1197::AID-JOC89%3E3.0.CO;2-L>
    Hellinger_trans from Numerical Ecology, Legendre & Legendre (ISBN 9780444538680)
    rolling_autoc from Liu, Gao & Wang (2018) <doi:10.1016/j.scitotenv.2018.06.276>
    Sample data sets lake_data & lake_RSI processed from Bush, Silman & Urrego (2004) <doi:10.1126/science.1090795>
    Sample data set January_PDO from NOAA: <https://www.ncei.noaa.gov/access/monitoring/pdo/>.","UTF-8",NA,NA,"true",NA,NA,NA,"Alex H. Room <alexhroom+cran@protonmail.com>",NA,"2025-04-06 18:15:25 UTC; alexhroom",NA,NA,NA,"rustc & cargo if building from source","Paleoecology Functions for Regime Shift Analysis","Package","https://github.com/alexhroom/rshift",NA,"R.rsp",NA,NA,NA,"2025-04-06",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.rshift",85349
"rtiktoken","0.0.7",NA,"R (>= 4.2)",NA,NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"c88ab27a5ac69ef36ce5ca4b31a7f1fb","yes",NA,"David Zimmermann-Kollenda [aut, cre],
  Roger Zurawicki [aut] (tiktoken-rs Rust library),
  Authors of the dependent Rust crates [aut] (see AUTHORS file)","c(
    person(""David"", ""Zimmermann-Kollenda"", , ""david_j_zimmermann@hotmail.com"", role = c(""aut"", ""cre"")),
    person(""Roger Zurawicki"", role = ""aut"", comment = ""tiktoken-rs Rust library""),
    person(""Authors of the dependent Rust crates"", role = ""aut"", comment = ""see AUTHORS file"")
  )",NA,"https://github.com/DavZim/rtiktoken/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-14 22:50:02 UTC","A thin wrapper around the tiktoken-rs crate, allowing to encode text into Byte-Pair-Encoding (BPE) tokens and decode tokens back to text. This is useful to understand how Large Language Models (LLMs) perceive text. ","UTF-8",NA,NA,NA,NA,NA,NA,"David Zimmermann-Kollenda <david_j_zimmermann@hotmail.com>",NA,"2025-04-14 20:20:47 UTC; david",NA,NA,NA,"Cargo (Rust's package manager), rustc >= 1.65.0","A Byte-Pair-Encoding (BPE) Tokenizer for OpenAI's Large Language
Models",NA,"https://davzim.github.io/rtiktoken/,
https://github.com/DavZim/rtiktoken/",NA,NA,NA,NA,NA,"2025-04-14",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.rtiktoken",3755
"socratadata","0.1.1",NA,"R (>= 4.2)","cli, httr2, rlang (>= 1.1.0), sf, tibble",NA,"glue, httptest2, rmarkdown, testthat (>= 3.0.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"337803fa6ff6570f178d9eb321f30f68","yes",NA,"Ryan Zomorrodi [aut, cre]","
    person(""Ryan"", ""Zomorrodi"", , ""rzomor2@uic.edu"", role = c(""aut"", ""cre""))",NA,"https://github.com/ryanzomorrodi/socratadata/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-10-06 16:50:02 UTC","Provides an interface to search, read, query, and retrieve metadata for 
    datasets hosted on 'Socrata' open data portals. Supports all 'Socrata' data types, 
    including spatial data returned as 'sf' objects. ","UTF-8",NA,NA,NA,NA,NA,NA,"Ryan Zomorrodi <rzomor2@uic.edu>",NA,"2025-10-06 16:23:41 UTC; user",NA,NA,NA,"Cargo (Rust's package manager), rustc >= 1.65.0, xz","Explore Socrata Data with Ease",NA,"https://ryanzomorrodi.github.io/socratadata/,
https://github.com/ryanzomorrodi/socratadata",NA,NA,NA,NA,NA,"2025-10-06",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.socratadata",568
"SQLFormatteR","0.0.2",NA,"R (>= 4.2)","assertthat",NA,"covr (>= 3.6.4), docopt (>= 0.7.1), git2r (>= 0.35.0),
jsonlite (>= 1.8.9), lintr (>= 3.1.2), optparse (>= 1.7.5),
precommit (>= 0.4.3), rextendr (>= 0.3.1), roxygen2 (>= 7.3.2),
styler (>= 1.10.3), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"bb8606bbc5ab5735def04f34af76a062","yes",NA,"Morgan Durand [aut, cre, cph],
  Authors of the dependent Rust crates [aut] (see AUTHORS file)","c(
    person(""Morgan"", ""Durand"", , ""morgan@dataupsurge.com"", role = c(""aut"", ""cre"", ""cph"")),
    person(""Authors of the dependent Rust crates"", role = ""aut"",
           comment = ""see AUTHORS file"")
  )",NA,"https://github.com/dataupsurge/SQLFormatteR/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-13 06:30:01 UTC","A convenient interface for formatting 'SQL' queries directly
    within 'R'. It acts as a wrapper around the 'sql_format' Rust crate.
    The package allows you to format 'SQL' code with customizable options,
    including indentation, case formatting, and more, ensuring your 'SQL'
    queries are clean, readable, and consistent.","UTF-8",NA,NA,NA,NA,NA,NA,"Morgan Durand <morgan@dataupsurge.com>",NA,"2025-04-13 06:17:04 UTC; morgan",NA,NA,NA,"Cargo (Rust's package manager), rustc >= 1.78.0","Format SQL Queries",NA,"https://dataupsurge.github.io/SQLFormatteR/,
https://github.com/dataupsurge/SQLFormatteR",NA,NA,NA,NA,NA,"2025-04-13",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.SQLFormatteR",1776
"tergo","0.1.9",NA,"R (>= 4.2)",NA,NA,"rextendr (== 0.3.1), roxygen2, rstudioapi (>= 0.7), devtools,
pkgdown, desc, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"5e2d1b15b0c7810f688b1b96475be908","yes",NA,"Konrad Pagacz [aut, cre],
  Maciej Nasinski [ctb],
  The authors of the dependency Rust crates [ctb] (see inst/AUTHORS file
    for details)","
    c(
      person(""Konrad"", ""Pagacz"", , ""konrad.pagacz@gmail.com"", role = c(""aut"", ""cre"")),
      person(""Maciej"", ""Nasinski"", , ""nasinski.maciej@gmail.com"", role = c(""ctb"")),
      person(given = ""The authors of the dependency Rust crates"",
        role = c(""ctb""), comment = ""see inst/AUTHORS file for details"")
    )","true","https://github.com/kpagacz/tergo/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-11 16:40:01 UTC","Provides a set of functions
    that allow users for styling their R code according to
    the 'tidyverse' style guide. The package uses a native
    Rust implementation to ensure the highest performance.
    Learn more about 'tergo' at <https://rtergo.pagacz.io>.","UTF-8",NA,NA,NA,NA,NA,NA,"Konrad Pagacz <konrad.pagacz@gmail.com>",NA,"2025-04-11 16:02:33 UTC; kpagacz",NA,NA,NA,"Cargo (Rust's package manager), rustc","Style Your Code Fast",NA,"https://rtergo.pagacz.io, https://github.com/kpagacz/tergo",NA,"knitr",NA,NA,NA,"2025-04-11",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.tergo",2092
"tok","0.2.1",NA,"R (>= 4.2.0)","R6, cli",NA,"rmarkdown, testthat (>= 3.0.0), hfhub (>= 0.1.1), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"fb48a0a8261f42eee0e57e0731b446a4","yes",NA,"Daniel Falbel [aut, cre],
  Regouby Christophe [ctb],
  Posit [cph]","c(
    person(""Daniel"", ""Falbel"", , ""daniel@posit.co"", c(""aut"", ""cre"")),
    person(""Regouby"", ""Christophe"", , ""christophe.regouby@free.fr"", c(""ctb"")),
    person(family = ""Posit"", role = c(""cph""))
  )",NA,"https://github.com/mlverse/tok/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-09-30 13:10:02 UTC","
  Interfaces with the 'Hugging Face' tokenizers library to provide implementations
  of today's most used tokenizers such as the 'Byte-Pair Encoding' algorithm 
  <https://huggingface.co/docs/tokenizers/index>. It's extremely fast for both 
  training new vocabularies and tokenizing texts.","UTF-8",NA,NA,NA,NA,NA,NA,"Daniel Falbel <daniel@posit.co>",NA,"2025-09-30 12:10:45 UTC; dfalbel",NA,NA,NA,"Cargo (Rust's package manager), rustc >= 1.75","Fast Text Tokenization",NA,"https://github.com/mlverse/tok",NA,NA,NA,NA,NA,"2025-09-30",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.tok",34042
"tomledit","0.1.1",NA,"R (>= 4.2)","rlang (>= 1.1.0)",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"78a86fbb82d549d766ed2a727c01386d","yes",NA,"Josiah Parry [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-9910-865X>)","
    person(""Josiah"", ""Parry"", , ""josiah.parry@gmail.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0001-9910-865X""))",NA,"https://github.com/extendr/tomledit/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-10 03:40:01 UTC","A toolkit for working with 'TOML' files in R while preserving
    formatting, comments, and structure. 'tomledit' enables serialization of R
    objects such as lists, data.frames, numeric, logical, and date vectors.","UTF-8",NA,"en",NA,NA,NA,NA,"Josiah Parry <josiah.parry@gmail.com>",NA,"2025-04-10 03:23:33 UTC; josiahparry",NA,NA,NA,"Cargo (Rust's package manager), rustc","Parse, Read, and Edit 'TOML'",NA,"https://extendr.github.io/tomledit/,
https://github.com/extendr/tomledit",NA,NA,NA,NA,NA,"2025-04-10",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.tomledit",3302
"unsum","0.2.0",NA,"R (>= 4.2.0)","cli, ggplot2, nanoparquet, readr, rlang, roundwork, scales,
tibble, utils",NA,"devtools, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"7a8e9e1d7eff053d544508622635d868","yes",NA,"Lukas Jung [aut, cre],
  Nathanael Larigaldie [ctb]","c(
    person(""Lukas"", ""Jung"", , ""jung-lukas@gmx.net"", role = c(""aut"", ""cre"")),
    person(""Nathanael"", ""Larigaldie"", role = ""ctb"")
  )",NA,"https://github.com/lhdjung/unsum/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'utils.R' 'count.R' 'extendr-wrappers.R' 'performance.R'
'horns.R' 'generate.R' 'horns-analyze.R' 'plot.R'
'read-write.R'",NA,NA,NA,NA,NA,"2025-06-19 19:20:02 UTC","Reconstructs all possible raw data that could have led to reported
    summary statistics. Provides a wrapper for the 'Rust' implementation of the
    'CLOSURE' algorithm.","UTF-8",NA,NA,NA,NA,NA,NA,"Lukas Jung <jung-lukas@gmx.net>",NA,"2025-06-09 18:07:04 UTC; lukas",NA,NA,NA,"Cargo (Rust's package manager), rustc","Reconstruct Raw Data from Summary Statistics",NA,"https://github.com/lhdjung/unsum, https://lhdjung.github.io/unsum/",NA,"knitr",NA,NA,NA,"2025-06-19",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.unsum",685
"xactonomial","1.2.0",NA,"R (>= 4.2)",NA,NA,"knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"92f68c37a9d5cfa9cbef15d5f2efb522","yes",NA,"Michael C Sachs [aut, cre],
  Michael P Fay [aut],
  Erin E Gabriel [aut],
  David B Dahl [ctb] ((rbindings.rs))","
    c(person(given = ""Michael C"",
             family = ""Sachs"",
             role = c(""aut"", ""cre""),
             email = ""sachsmc@gmail.com""),
      person(given = ""Michael P"", 
             family = ""Fay"", role = c(""aut"")), 
      person(given = ""Erin E"", 
             family = ""Gabriel"", role = c(""aut"")), 
      person(given = ""David B"", 
              family = ""Dahl"", role = ""ctb"", comment = ""(rbindings.rs)""))",NA,"https://github.com/sachsmc/xactonomial/issues/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30","2025-07-30 08:00:02 UTC","We consider the problem where we observe k vectors (possibly of different lengths), each representing an independent multinomial random vector. For a given function that takes in the concatenated vector of multinomial probabilities and outputs a real number, this is a Monte Carlo estimation procedure of an exact p-value and confidence interval. The resulting inference is valid even in small samples, when the parameter is on the boundary, and when the function is not differentiable at the parameter value, all situations where asymptotic methods and the bootstrap would fail. For more details see Sachs, Fay, and Gabriel (2025) <doi:10.48550/arXiv.2406.19141>.","UTF-8",NA,NA,NA,NA,NA,NA,"Michael C Sachs <sachsmc@gmail.com>",NA,"2025-07-30 07:38:50 UTC; micsac",NA,NA,NA,"Cargo (Rust's package manager), rustc >= 1.70","Inference for Functions of Multinomial Parameters","Package","https://sachsmc.github.io/xactonomial/",NA,"knitr",NA,NA,NA,"2025-07-30",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.xactonomial",956
