"Package","Title","Author","Description","URL","Count"
"enderecobr","Padronizador de Endereços Brasileiros (Brazilian Addresses
Standardizer)","Daniel Herszenhut","Padroniza endereços brasileiros a partir de diferentes
    critérios. Os métodos de padronização incluem apenas manipulações
    básicas de strings, não oferecendo suporte a correspondências
    probabilísticas entre strings. (Standardizes brazilian addresses using
    different criteria. Standardization methods include only basic string
    manipulation, not supporting probabilistic matches between strings.)","https://github.com/ipeaGIT/enderecobr",24334
"fastgeojson","High-Performance 'GeoJSON' and 'JSON' Serialization","Alex Jorion","Converts R data frames and 'sf' spatial objects into 'JSON' and 
    'GeoJSON' strings. The core encoders are implemented in 'Rust' using the 
    'extendr' framework and are designed to efficiently serialize large 
    tabular and spatial datasets. Returns serialized 'JSON' text, allowing 
    applications such as 'shiny' or web APIs to transfer data to 
    client-side 'JavaScript' libraries without additional encoding overhead.","https://github.com/firstzeroenergy/fastgeojson",435
"fcl","A Financial Calculator","Xianying Tan","A financial calculator that provides very fast implementations
    of common financial indicators using 'Rust' code. It includes functions for
    bond-related indicators, such as yield to maturity ('YTM'), modified duration,
    and Macaulay duration, as well as functions for calculating time-weighted
    and money-weighted rates of return (using 'Modified Dietz' method) for multiple portfolios,
    given their market values and profit and loss ('PnL') data. 'fcl' is designed
    to be efficient and accurate for financial analysis and computation. The methods
    used in this package are based on the following references:
    <https://en.wikipedia.org/wiki/Modified_Dietz_method>,
    <https://en.wikipedia.org/wiki/Time-weighted_return>.","https://github.com/shrektan/fcl",306639
"fio","Friendly Input-Output Analysis","Alberson da Silva Miranda","Simplifies the process of economic input-output analysis by combining
  user-friendly interfaces with high-performance computation. It provides tools
  for analyzing both single-region and multi-regional economic systems through a
  hybrid architecture that pairs R's accessibility with Rust's computational efficiency.","https://albersonmiranda.github.io/fio/",156157
"gadjid","Graph Adjustment Identification Distances for Causal Graphs","Sebastian Weichwald","Make efficient Rust implementations of graph adjustment
    identification distances available in R. These distances (based on ancestor,
    optimal, and parent adjustment) count how often the respective adjustment
    identification strategy leads to causal inferences that are incorrect
    relative to a ground-truth graph when applied to a candidate graph instead.
    See also Henckel, Würtzen, Weichwald (2024) <doi:10.48550/arXiv.2402.08616>.","https://github.com/CausalDisco/gadjid",1018
"geodensity","Geodesic Kernel Density Estimation for Spatial Data","Andrew Brown","Compute kernel density estimates on geographic data using geodesic distances.
Combines the terra package's efficient raster processing with a parallelized Rust backend
to deliver scalable, accurate density estimation for large geospatial datasets without.",NA,NA
"h3o","H3 Geospatial Indexing System","Josiah Parry","A dependency free interface to the H3 geospatial indexing system utilizing the Rust library 'h3o' <https://github.com/HydroniumLabs/h3o> via the 'extendr' library <https://github.com/extendr/extendr>.","https://github.com/extendr/h3o",3129
"heck","Highly Performant String Case Converter","Josiah Parry","Provides a case conversion between common cases like CamelCase and 
    snake_case. Using the 'rust crate heck' <https://github.com/withoutboats/heck>
    as the backend for a highly performant case conversion for 'R'.","https://github.com/DyfanJones/heck",8213
"orbweaver","Fast and Efficient Graph Data Structures","ixpantia, SRL","Seamlessly build and manipulate graph structures, leveraging
    its high-performance methods for filtering, joining, and mutating
    data. Ensures that mutations and changes to the graph are performed in
    place, streamlining your workflow for optimal productivity.","https://github.com/ixpantia/orbweaver-r",6857
"Pmetrics","Pmetrics for Population Modeling and Simulation","Michael Neely","Pmetrics is short for pharmacometrics, the discipline of modeling drug kinetics and effects on biologic systems, including disease progression. Models can be used to simulate novel therapeutic dosing regimens and/or populations, informing trial design and dosing strategies. The package supports primarily non-parametric but also parametric pharmacometric modeling and simulation with functions to run and analyze the output from all three components of the Pmetrics software suite for population pharmacometric data analysis: 1) IT2B (Iterative Two-Stage Bayesian) for parametric models; 2) NPAG (Non-parametric Adaptive Grid) for non-paramametric models; 3) Simulator for semi-parametric Monte-Carlo simulations.","https://lapkb.github.io/Pmetrics_rust/",NA
"rbm25","A Light Wrapper Around the 'BM25' 'Rust' Crate for Okapi BM25
Text Search","David Zimmermann-Kollenda","
    BM25 is a ranking function used by search engines to rank matching documents according to their relevance to a user's search query.
    This package provides a light wrapper around the 'BM25' 'rust' crate for Okapi BM25 text search.
    For more information, see Robertson et al. (1994) <https://trec.nist.gov/pubs/trec3/t3_proceedings.html>.","https://davzim.github.io/rbm25/",2497
"roxigraph","'RDF' and 'SPARQL' for R using 'Oxigraph'","Carl Boettiger","Provides 'RDF' storage and 'SPARQL' 1.1 query capabilities by wrapping
    the 'Oxigraph' graph database library <https://github.com/oxigraph/oxigraph>. 
    Supports in-memory and persistent ('RocksDB') storage, multiple 'RDF' 
    serialization formats ('Turtle', 'N-Triples', 'RDF-XML', 'N-Quads', 'TriG'), 
    and full 'SPARQL' 1.1 Query and Update support. Built using the 'extendr' 
    framework for 'Rust'-R bindings.","https://github.com/cboettig/roxigraph",336
"RPesto","Phylogenetic Estimation of Shifts in the Tempo of Origination","Bjørn Tore Kopperud","Implements diversification analyses using the phylogenetic birth-death-shift model. It leverages belief propagation techniques to calculate branch-specific diversification rates, see Kopperud & Hoehna (2025) <doi:10.1093/sysbio/syaf041>.",NA,492
"rshift","Paleoecology Functions for Regime Shift Analysis","Alex H. Room","Contains a variety of functions, based around
    regime shift analysis of paleoecological data.
    Citations:
    Rodionov() from Rodionov (2004) <doi:10.1029/2004GL019448>
    Lanzante() from Lanzante (1996) <doi:10.1002/(SICI)1097-0088(199611)16:11%3C1197::AID-JOC89%3E3.0.CO;2-L>
    Hellinger_trans from Numerical Ecology, Legendre & Legendre (ISBN 9780444538680)
    rolling_autoc from Liu, Gao & Wang (2018) <doi:10.1016/j.scitotenv.2018.06.276>
    Sample data sets lake_data & lake_RSI processed from Bush, Silman & Urrego (2004) <doi:10.1126/science.1090795>
    Sample data set January_PDO from NOAA: <https://www.ncei.noaa.gov/access/monitoring/pdo/>.","https://github.com/alexhroom/rshift",159034
"rtiktoken","A Byte-Pair-Encoding (BPE) Tokenizer for OpenAI's Large Language
Models","David Zimmermann-Kollenda","A thin wrapper around the tiktoken-rs crate, allowing to encode text into Byte-Pair-Encoding (BPE) tokens and decode tokens back to text. This is useful to understand how Large Language Models (LLMs) perceive text. ","https://davzim.github.io/rtiktoken/",4629
"socratadata","Explore Socrata Data with Ease","Ryan Zomorrodi","Provides an interface to search, read, query, and retrieve metadata for 
    datasets hosted on 'Socrata' open data portals. Supports all 'Socrata' data types, 
    including spatial data returned as 'sf' objects. ","https://ryanzomorrodi.github.io/socratadata/",1369
"spopt","Spatial Optimization for Regionalization, Facility Location, and Market Analysis","Kyle Walker","Spatial optimization algorithms for regionalization, facility
location, and market analysis. Includes algorithms for spatial clustering
(Max-P, AZP, SKATER, SPENC, Ward), optimal facility siting (P-Median,
P-Center, MCLP, LSCP, CFLP, P-Dispersion, FRLM), and market share analysis
(Huff model). Supports network-based travel times via custom cost matrices.
Uses a Rust backend via 'extendr' for performance and the 'HiGHS' solver
for mixed-integer programming.","https://github.com/walkerke/spopt-r",NA
"SQLFormatteR","Format SQL Queries","Morgan Durand","A convenient interface for formatting 'SQL' queries directly
    within 'R'. It acts as a wrapper around the 'sql_format' Rust crate.
    The package allows you to format 'SQL' code with customizable options,
    including indentation, case formatting, and more, ensuring your 'SQL'
    queries are clean, readable, and consistent.","https://dataupsurge.github.io/SQLFormatteR/",2505
"tergo","Style Your Code Fast","Konrad Pagacz","Provides a set of functions
    that allow users for styling their R code according to
    the 'tidyverse' style guide. The package uses a native
    Rust implementation to ensure the highest performance.
    Learn more about 'tergo' at <https://rtergo.pagacz.io>.","https://rtergo.pagacz.io",2758
"tinyimg","Optimize and Compress Images","Yihui Xie","Optimize and compress images using 'Rust' libraries to reduce
    file sizes while maintaining image quality. Currently supports lossless
    PNG optimization via the 'oxipng' crate. The package provides functions to
    optimize individual image files or entire directories, with configurable
    compression levels to balance between file size reduction and processing speed.","https://github.com/yihui/tinyimg",83
"tok","Fast Text Tokenization","Daniel Falbel","
  Interfaces with the 'Hugging Face' tokenizers library to provide implementations
  of today's most used tokenizers such as the 'Byte-Pair Encoding' algorithm 
  <https://huggingface.co/docs/tokenizers/index>. It's extremely fast for both 
  training new vocabularies and tokenizing texts.","https://github.com/mlverse/tok",107625
"tomledit","Parse, Read, and Edit 'TOML'","Josiah Parry","A toolkit for working with 'TOML' files in R while preserving
    formatting, comments, and structure. 'tomledit' enables serialization of R
    objects such as lists, data.frames, numeric, logical, and date vectors.","https://extendr.github.io/tomledit/",6178
"unsum","Reconstruct Raw Data from Summary Statistics","Lukas Jung","Reconstructs all possible raw data that could have led to reported
    summary statistics. Provides a wrapper for the 'Rust' implementation of the
    'CLOSURE' algorithm.","https://github.com/lhdjung/unsum",1257
"waysign","Multi-Purpose and High-Performance Routing","Thomas Lin Pedersen","Provides routing based on the 'path-tree' 'Rust' crate. The routing
    is general purpose in the sense that any type of R object can be associated
    with a path, not just a handler function.","https://github.com/thomasp85/waysign",1715
"xactonomial","Inference for Functions of Multinomial Parameters","Michael C Sachs","We consider the problem where we observe k vectors (possibly of different lengths), each representing an independent multinomial random vector. For a given function that takes in the concatenated vector of multinomial probabilities and outputs a real number, this is a Monte Carlo estimation procedure of an exact p-value and confidence interval. The resulting inference is valid even in small samples, when the parameter is on the boundary, and when the function is not differentiable at the parameter value, all situations where asymptotic methods and the bootstrap would fail. For more details see Sachs, Fay, and Gabriel (2025) <doi:10.48550/arXiv.2406.19141>.","https://sachsmc.github.io/xactonomial/",1608
"yaml12","Fast 'YAML' 1.2 Parser and Formatter","Tomasz Kalinowski","A fast, correct, safe, and ergonomic 'YAML' 1.2 parser and
    generator written in 'Rust'. Convert between 'YAML' and simple 'R'
    objects with full support for multi-document streams, tags, anchors,
    and aliases. Offers opt-in handlers for custom tag behavior and
    round-trips common 'R' data structures. Implements the 'YAML' 1.2.2
    specification from the 'YAML' Language Development Team (2021)
    <https://yaml.org/spec/1.2.2/>. Proudly supported by Posit.","https://posit-dev.github.io/r-yaml12/",854
"ymd","Parse 'YMD' Format Number or String to Date","Xianying Tan","Convert 'YMD' format number or string to Date efficiently, using Rust's
    standard library. It also provides helper functions to handle Date, e.g., quick
    finding the beginning or end of the given period, adding months to Date, etc.","https://shrektan.github.io/ymd/",9212
"zoomerjoin","Superlatively Fast Fuzzy Joins","Beniamino Green","Empowers users to fuzzily-merge data frames with millions or tens of millions of rows in minutes with low memory usage.  The package uses the locality sensitive hashing algorithms developed by Datar, Immorlica, Indyk and Mirrokni (2004) <doi:10.1145/997817.997857>, and Broder (1998) <doi:10.1109/SEQUEN.1997.666900> to avoid having to compare every pair of records in each dataset, resulting in fuzzy-merges that finish in linear time.","https://beniamino.org/zoomerjoin/",5790
